Название,Цена,Изображение
Ноутбук LG Gram 16Z90R Intel Core i5-1340P 8GB DDR5 1TB SSD NVMe+512GB SSD NVMe W11 Obsidian Black,73190 сом,/images/product/131328/1704517935_65553900.jpg
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 8GB DDR4 128GB SSD NVMe FHD Pure Silver,30700 сом,/images/product/131584/1705157938_86125800.jpg
Ноутбук Asus VivoBook F1502ZA-WH74 Intel Core i7-1255U 16GB DDR4 2TB SSD NVMe FHD Touch W11 Quiet Blue,70310 сом,/images/product/132608/1706941089_57685900.jpg
Ноутбук Acer Nitro V15 ANV15-51-59MT Intel Core i5-13420H 32GB DDR5 1TB SSD NVMe+256GB SSD NVMe NVIDIA RTX4050 FHD IPS Obsidian Black,98320 сом,/images/product/132864/1707393126_57091400.jpg
Корпус для накопителя Ugreen CM237-60353 Black,1640 сом,/images/product/133376/1708529880_21511100.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 16GB DDR5 4TB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,112680 сом,/images/product/133888/1709540104_55661700.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 24GB DDR5 1TB SSD NVMe+256GB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,103410 сом,/images/product/134656/1710564960_51142000.jpg
Стабилизатор напряжения Mercury A10000 10000VA AVR,25090 сом,/images/product/9728/9728.jpg
Комплект клавиатура + мышь A4Tech Fstyler F1010 черный,1810 сом,/images/product/76544/1580792435_70863700.jpg
"Монитор Hikvision 27"" D5027FN01",11090 сом,/images/product/91904/1684913280_08676900.jpg
Клавиатура Razer Blackwidow V3 Pro (Green Switch),23743 сом,/images/product/95488/1626858376_49353900.jpg
Внешний накопитель SSD Kingston XS2000 1000GB USB 3.2,8400 сом,/images/product/99584/1634812695_52210000.jpg
Накопитель Hikvision E3000 512GB M.2 2280,4260 сом,/images/product/102912/1708118170_15577000.jpg
Сумка для ноутбука Rivacase 5532 Lite серая,2240 сом,/images/product/103680/1645719471_15874800.jpg
Система охлаждения Deepcool LS520,8910 сом,/images/product/109056/1658489251_12764300.jpg
Комплект A4Tech KR-8520D Black,1660 сом,/images/product/123136/1688530653_11965200.jpg
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 128GB SSD Intel Iris Xe Graphics FHD DOS Silver,59620 сом-1%59250 сом,/images/product/125440/1692867184_44310200.jpg
Монитор Samsung Odyssey G5 LS32CG510EIXCI,24990 сом,/images/product/128768/1699003881_34544100.png
Корпус для HDD/SSD Ugreen US221 USB Type-A,1480 сом,/images/product/129024/1699854899_07908600.jpg
Колонки Microlab B16 черные,880 сом,/images/product/64256/64256.jpg
