Название,Цена,Изображение
Ноутбук LG Gram 16Z90R Intel Core i5-1340P 8GB DDR5 1TB SSD NVMe+512GB SSD NVMe W11 Obsidian Black,73190 сом,/images/product/131328/1704517935_65553900.jpg
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 8GB DDR4 128GB SSD NVMe FHD Pure Silver,30700 сом,/images/product/131584/1705157938_86125800.jpg
Ноутбук Asus VivoBook F1502ZA-WH74 Intel Core i7-1255U 16GB DDR4 2TB SSD NVMe FHD Touch W11 Quiet Blue,70310 сом,/images/product/132608/1706941089_57685900.jpg
Ноутбук Acer Nitro V15 ANV15-51-59MT Intel Core i5-13420H 32GB DDR5 1TB SSD NVMe+256GB SSD NVMe NVIDIA RTX4050 FHD IPS Obsidian Black,98320 сом,/images/product/132864/1707393126_57091400.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 16GB DDR5 4TB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,112680 сом,/images/product/133888/1709540104_55661700.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 24GB DDR5 1TB SSD NVMe+256GB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,103410 сом,/images/product/134656/1710564960_51142000.jpg
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 128GB SSD Intel Iris Xe Graphics FHD DOS Silver,59620 сом-1%59250 сом,/images/product/125440/1692867184_44310200.jpg
Ноутбук LG Gram 16Z90R Intel Core i5-1340P 8GB DDR5 512GB SSD NVMe+256GB SSD NVMe W11 Obsidian Black,69570 сом,/images/product/131329/1704518052_08680800.jpg
Ноутбук Asus VivoBook F1502ZA-WH74 Intel Core i7-1255U 24GB DDR4 256GB SSD NVMe FHD Touch W11 Quiet Blue,63340 сом,/images/product/132609/1706941188_25168000.jpg
Ноутбук Acer Nitro V15 ANV15-51-59MT Intel Core i5-13420H 32GB DDR5 1TB SSD NVMe+512GB SSD NVMe NVIDIA RTX4050 FHD IPS Obsidian Black,99710 сом,/images/product/132865/1707393275_15761300.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 24GB DDR5 4TB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,115450 сом,/images/product/133889/1709540111_68197300.jpg
Ноутбук HP 15-DY2795 Intel Core i5-1135G7 32GB DDR4 512GB SSD Intel Iris Graphics FHD W11 Silver,49580 сом,/images/product/134401/1710148487_05703600.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 32GB DDR5 1TB SSD NVMe+256GB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,106190 сом,/images/product/134657/1710565030_90189600.jpg
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 256GB SSD Intel Iris Xe Graphics FHD DOS Silver,59810 сом-1%59440 сом,/images/product/125441/1692867255_98964000.jpg
Ноутбук HP 15F-fd0333nia Intel Core i3-1315U 4GB DDR4 128GB SSD NVMe FHD Warm Gold,36410 сом,/images/product/130817/1703059041_37310800.png
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 16GB DDR4 128GB SSD NVMe FHD Pure Silver,32760 сом,/images/product/131586/1705158395_61315800.jpg
Ноутбук Asus VivoBook F1502ZA-WH74 Intel Core i7-1255U 24GB DDR4 512GB SSD NVMe FHD Touch W11 Quiet Blue,64920 сом,/images/product/132610/1706941260_39915500.jpg
Ноутбук Acer Nitro V15 ANV15-5173R8 Intel Core i7-13620H 32GB DDR5 4TB SSD NVMe NVIDIA RTX4050 FHD Obsidian Black,119150 сом,/images/product/133890/1709540114_34906700.jpg
Ноутбук HP 15-DY2795 Intel Core i5-1135G7 32GB DDR4 1TB SSD Intel Iris Graphics FHD W11 Silver,51900 сом,/images/product/134402/1710148581_14570300.jpg
Ноутбук Asus TUF Gaming F15 FX507ZI Intel Core i7-12700H 16GB DDR4 1000GB SSD Nvidia RTX4070 8GB FHD W11 Mecha Grey,117300 сом,/images/product/123394/1689067754_89637100.jpg
